Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.272000,29.210000,0.000000,top
C2,10u,CP_Elec_5x5.4,11.360000,23.809000,0.000000,top
C3,10u,CP_Elec_5x5.4,11.360000,37.809000,0.000000,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.272000,32.385000,0.000000,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,25.654000,40.894000,270.000000,top
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.480000,65.000000,180.000000,top
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.480000,20.000000,180.000000,top
C8,10u,CP_Elec_5x5.4,11.430000,46.101000,270.000000,top
C9,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.669000,46.101000,180.000000,top
C10,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.480000,35.000000,180.000000,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.480000,80.000000,0.000000,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.622000,49.022000,90.000000,top
C13,220p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.286000,77.750000,0.000000,top
C14,470p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.528000,79.000000,90.000000,top
C15,220p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.418000,75.184000,180.000000,top
C16,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.480000,50.000000,180.000000,top
D1,1N4148WS,D_SOD-323,18.415000,25.019000,270.000000,top
L1,1u,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,47.286000,80.000000,180.000000,top
L2,1u,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,41.278000,79.000000,270.000000,top
R1,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.448000,49.530000,270.000000,top
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,18.669000,48.260000,180.000000,top
R3,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,28.448000,35.814000,90.000000,top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,18.669000,43.942000,0.000000,top
R5,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,37.084000,38.862000,180.000000,top
R6,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.638000,43.942000,180.000000,top
R7,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,25.654000,49.022000,270.000000,top
R8,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,24.638000,45.974000,0.000000,top
R9,49.9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,37.084000,46.482000,180.000000,top
U1,MC78M09_TO252,TO-252-2,9.360000,30.809000,180.000000,top
U2,MAX4022ESDT,SOIC-14_3.9x8.7mm_P1.27mm,31.052000,42.634000,270.000000,top
